FID,OBJECTID,KEY_ID,VALUE,TYPE,FEATURECOD,FEATUREGUI,EPSCREATET,EPSMODIFYT,PROJECTID,MAPSCALE,SECURITY,UPDATEREGI,UPDATETIME,YEWBH,YEWID,DESCRIPTIO,X,Y
68,279037,231044,7.400000000000000,0,839100,{3358B90B-4C06-4429-B6B1-295BF8DC4925},2010/4/7 0:00:00,2012/4/14 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,35230.603000000002794,-16275.760000000000218
69,279038,231045,7.200000000000000,0,839100,{AAB2A604-89B6-4BC8-89AA-DB1CA3C1FBCA},2010/4/7 0:00:00,2012/7/12 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,35595.025999999998021,-16257.481999999999971
70,279039,231046,7.300000000000000,0,839100,{263A3D00-06F2-4F70-B97B-8772A4A58A3C},2010/4/7 0:00:00,2012/8/1 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,35689.418055000001914,-16467.738695000000007
71,279040,231047,7.200000000000000,0,839100,{0586A8CF-DB37-47BD-89F0-E27D8D997297},2010/4/7 0:00:00,2012/8/1 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,35641.240223300002981,-16360.808708000000479
72,279041,231048,7.400000000000000,0,839100,{AC474D28-743D-4F18-BD06-FA1F4C62AD98},2010/4/7 0:00:00,2012/7/12 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,35103.454814199998509,-16047.008218299999498
73,279042,231049,7.400000000000000,0,839100,{AD8B8026-BD0A-477B-854B-514A9E277813},2010/4/7 0:00:00,2012/8/21 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,35158.483564900001511,-16150.736672999999428
74,279043,231050,7.200000000000000,0,839100,{CC6118B1-F1A4-4634-B3CB-8F3FC93E1470},2010/4/7 0:00:00,2012/8/1 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,35502.198465200002829,-16046.808694800000012
75,279044,231051,7.200000000000000,0,839100,{FE0CB8F9-FBC4-4A1B-BD6B-996A5983D27C},2010/4/7 0:00:00,2012/7/12 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,35546.696000000003551,-16148.111000000000786
76,279045,231052,7.200000000000000,0,839100,{10372E3D-6509-4420-B19B-39FB31D909C3},2010/4/7 0:00:00,2012/8/1 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,35771.277248999998847,-16651.816567999998369
77,279046,231053,7.200000000000000,0,839100,{FE6497C5-BC64-4D6C-BCD2-A839A22CE76F},2010/4/7 0:00:00,2012/8/1 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,35727.511898999997356,-16553.369231000000582
78,279047,231054,7.200000000000000,0,839100,{2040314F-E99E-4855-9E50-B3ADADAED430},2010/4/7 0:00:00,2012/8/1 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,35805.533269999999902,-16728.756421999998565
